Age,Gender,Fitness_Level,Diet,Will_Subscribe
56,Male,Intermediate,Vegetarian,1
46,Female,Beginner,Vegetarian,0
32,Female,Beginner,Vegetarian,0
25,Female,Advanced,Vegetarian,0
38,Male,Intermediate,Non-Vegetarian,0
56,Female,Advanced,Non-Vegetarian,1
36,Male,Advanced,Non-Vegetarian,0
40,Male,Intermediate,Non-Vegetarian,1
28,Female,Beginner,Non-Vegetarian,1
28,Female,Beginner,Non-Vegetarian,1
41,Male,Intermediate,Vegetarian,1
53,Male,Beginner,Non-Vegetarian,1
57,Female,Intermediate,Vegetarian,0
41,Female,Intermediate,Vegetarian,0
20,Female,Advanced,Non-Vegetarian,1
39,Male,Intermediate,Vegetarian,0
19,Male,Advanced,Non-Vegetarian,1
41,Male,Beginner,Vegetarian,0
47,Male,Beginner,Non-Vegetarian,0
55,Male,Beginner,Vegetarian,1
19,Male,Beginner,Non-Vegetarian,1
38,Female,Advanced,Non-Vegetarian,0
50,Male,Beginner,Non-Vegetarian,0
29,Male,Intermediate,Non-Vegetarian,1
39,Male,Intermediate,Non-Vegetarian,0
42,Female,Intermediate,Vegetarian,1
44,Male,Advanced,Vegetarian,1
59,Male,Beginner,Vegetarian,1
45,Female,Beginner,Non-Vegetarian,0
33,Male,Beginner,Vegetarian,1
32,Male,Advanced,Non-Vegetarian,0
20,Male,Intermediate,Non-Vegetarian,0
54,Male,Intermediate,Vegetarian,0
24,Male,Beginner,Vegetarian,1
38,Female,Intermediate,Non-Vegetarian,1
26,Female,Intermediate,Vegetarian,1
56,Female,Advanced,Non-Vegetarian,1
35,Male,Advanced,Non-Vegetarian,0
21,Male,Advanced,Non-Vegetarian,0
42,Male,Advanced,Non-Vegetarian,1
31,Female,Beginner,Non-Vegetarian,1
26,Male,Advanced,Vegetarian,1
43,Male,Intermediate,Vegetarian,1
19,Female,Beginner,Non-Vegetarian,0
37,Male,Intermediate,Non-Vegetarian,0
45,Female,Intermediate,Vegetarian,1
24,Female,Intermediate,Vegetarian,1
25,Female,Advanced,Non-Vegetarian,0
52,Male,Advanced,Vegetarian,1
31,Male,Beginner,Non-Vegetarian,1
34,Male,Beginner,Vegetarian,1
53,Male,Advanced,Non-Vegetarian,1
57,Male,Intermediate,Vegetarian,0
21,Male,Beginner,Non-Vegetarian,0
19,Male,Advanced,Vegetarian,1
23,Female,Advanced,Vegetarian,0
59,Male,Advanced,Non-Vegetarian,0
21,Female,Intermediate,Vegetarian,0
46,Male,Advanced,Non-Vegetarian,1
35,Male,Advanced,Vegetarian,1
43,Male,Advanced,Non-Vegetarian,1
51,Female,Advanced,Vegetarian,0
27,Female,Beginner,Non-Vegetarian,1
53,Female,Beginner,Vegetarian,0
31,Female,Advanced,Non-Vegetarian,0
48,Male,Intermediate,Vegetarian,1
32,Female,Beginner,Non-Vegetarian,1
25,Male,Advanced,Non-Vegetarian,0
31,Male,Beginner,Non-Vegetarian,1
40,Female,Beginner,Vegetarian,0
57,Female,Intermediate,Non-Vegetarian,1
38,Female,Advanced,Vegetarian,0
33,Female,Advanced,Non-Vegetarian,1
35,Female,Intermediate,Vegetarian,0
41,Female,Intermediate,Non-Vegetarian,0
43,Female,Advanced,Vegetarian,1
42,Female,Advanced,Vegetarian,1
58,Male,Intermediate,Non-Vegetarian,0
46,Female,Beginner,Vegetarian,0
32,Female,Beginner,Vegetarian,0
18,Male,Intermediate,Non-Vegetarian,1
42,Female,Beginner,Vegetarian,0
24,Male,Intermediate,Vegetarian,0
26,Male,Beginner,Vegetarian,0
41,Female,Beginner,Non-Vegetarian,0
18,Male,Advanced,Vegetarian,1
25,Male,Advanced,Non-Vegetarian,0
41,Male,Beginner,Vegetarian,0
28,Male,Beginner,Vegetarian,1
34,Female,Advanced,Vegetarian,1
25,Male,Advanced,Non-Vegetarian,1
52,Female,Advanced,Vegetarian,1
52,Male,Intermediate,Vegetarian,0
50,Male,Beginner,Non-Vegetarian,0
22,Male,Advanced,Vegetarian,1
59,Male,Beginner,Non-Vegetarian,0
56,Female,Intermediate,Non-Vegetarian,0
58,Female,Intermediate,Vegetarian,0
45,Male,Advanced,Non-Vegetarian,0
24,Male,Intermediate,Vegetarian,1
